Depth,ROP(1 ft),WOB (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),ROP(1 min),Hookload (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gpm),Flow Out %,WH Pressure (psi),H2S Floor,H2S Cellar,H2S Pits
221.52,225.35,0,97.41,96.02,208.91,444.66,128.61,55.71,8.13,0,1064.81,98.42,-1231.83,-0.02,-0.01,0.24
222.52,112.68,0,97.45,96.09,208.69,442.75,125.51,53.73,8.13,0,1056.48,97.81,-1231.83,-0.02,-0.01,0.23
223.52,100.82,0,98.33,96.13,207.54,443.89,114.91,56.78,8.13,0,1058.92,96.21,-1231.83,-0.01,-0.01,0.24
224.52,171.7,0,98.18,96.17,206.99,441.61,126.68,57.16,8.13,0,1054.65,97.88,-1231.45,-0.02,-0.01,0.23
225.56,212.84,0,98.18,96.21,206.29,436.27,138.97,52.36,8.17,0,1052,98.42,-1231.83,-0.02,-0.02,0.23
226.56,120.19,0,98.4,96.29,205.17,440.84,132.7,53.81,8.17,0,1052.61,97.4,-1231.83,-0.02,-0.03,0.23
227.59,98.94,0,98.14,96.29,204.9,436.65,137.14,54.72,8.17,0,1048.55,96.09,-1231.83,-0.01,0,0.22
228.62,177.07,0,98.18,96.36,204.17,435.89,145.81,55.56,8.13,0,1053.02,96.46,-1231.83,-0.01,-0.02,0.24
229.63,300.49,0,98.21,96.36,203.61,438.56,163.27,55.94,8.13,0,1050.99,95.58,-1231.83,-0.02,-0.02,0.23
230.66,265.6,0,98.14,96.4,203.32,437.03,178.13,56.32,8.17,0,1051.6,95.37,-1231.83,-0.02,-0.02,0.23
231.66,225.36,0,98.14,96.4,203.2,435.51,185.83,56.86,8.13,0,1051.39,95.6,-1231.83,-0.01,-0.01,0.23
232.66,90.69,0,98.06,96.48,201.68,433.6,153.69,55.94,8.06,0,1049.16,95.9,-1231.83,-0.01,-0.02,0.24
233.66,262.92,0,98.14,96.48,203.04,440.46,166.2,57.01,8.06,0,1053.83,95.39,-1231.83,-0.01,-0.01,0.23
234.7,309.87,0,98.1,96.51,203.08,436.27,182.54,56.09,8.02,0,1050.78,95.62,-1231.45,-0.01,-0.01,0.24
235.7,180.29,0,97.99,96.51,202.37,439.32,182.77,56.7,7.98,0,1054.04,95.86,-1231.45,-0.02,-0.02,0.24
236.7,109.27,0,97.91,96.63,201.36,438.94,165.25,56.09,7.98,0,1048.95,96.04,-1231.83,-0.02,-0.02,0.23
237.7,225.36,0,98.18,96.63,201.28,440.08,174.55,55.33,7.94,0,1052.41,95.95,-1231.45,-0.02,-0.01,0.24
238.73,206.59,0,98.29,96.63,200.99,438.18,180.17,56.47,7.98,0,1050.99,96.02,-1231.83,-0.01,0,0.24
239.74,106.42,0,98.4,96.7,200.52,438.56,158.09,56.25,7.98,0,1050.78,96.98,-1231.83,-0.01,-0.01,0.23
240.8,425.68,0,98.56,96.7,200.24,436.27,180.11,57.24,7.98,0,1047.12,96.25,-1231.83,-0.01,-0.02,0.24
241.8,360.58,0,98.67,96.74,200.1,439.32,199.63,57.92,7.98,0,1050.17,97.23,-1231.83,-0.01,-0.01,0.23
242.83,97.86,0,98.56,96.82,199.07,440.46,165.2,48.39,7.98,0,1048.54,97.26,-1231.83,-0.02,-0.01,0.24
243.87,95.35,0,98.56,96.86,199.01,441.23,143.55,43.28,7.98,0,1047.53,98.44,-1231.83,-0.01,-0.01,0.25
244.87,200.32,0,98.4,96.93,199.02,440.08,154.09,48.77,7.98,0,1044.68,97.35,-1231.83,-0.01,-0.01,0.23
245.9,109.32,0,98.79,96.97,198.8,441.61,140.32,48.7,7.94,0,1047.93,98.63,-1231.83,-0.02,-0.01,0.23
246.9,83.86,0,98.75,97.05,197.36,438.18,119.64,53.88,7.98,0,1045.09,98.61,-1231.83,-0.01,0,0.22
247.94,218.74,0,98.75,97.05,196.94,441.61,133.74,51.14,7.94,0,1047.73,97.95,-1231.83,-0.02,0,0.24
248.94,133.55,0,98.9,97.09,196.52,442.37,134.56,53.2,7.98,0,1045.69,97.77,-1231.83,-0.01,-0.02,0.22
249.94,148.74,0,98.9,97.09,196.51,443.13,138.97,54.8,7.98,0,1048.13,98.37,-1231.45,-0.01,-0.02,0.23
